4025,47
4022,61
4020,380
4021,97
3996,294
3995,294
3992,22
3991,17
3990,5
6356,8
4416,16
3573,5
6150,91
6151,283
6152,311
6153,283
6154,162
6155,448
6156,213
6157,177
6158,83
6159,67
6353,9
4732,6
4730,184
4731,3
4737,208
2318,100
2319,64
2316,48
2317,69
4738,52
2315,208
2312,49
3572,3
6798,2
2311,19
4830,2
3770,6
3777,62
3775,23
3779,46
3778,5
4655,1875
4650,1339
6359,8
4659,353
2262,126
2263,146
2260,114
2261,381
2267,16
2264,173
2265,38
2443,109
2440,285
2441,46
2446,256
2447,219
2444,373
2445,66
2448,185
2449,31
2103,28
2102,18
3282,40
2101,39
2046,75
4812,225
2044,34
4810,407
4817,417
4816,366
2040,67
4814,587
6051,224
4819,328
4818,669
2048,26
2106,47
2105,18
6370,15
2104,22
6375,25
3155,95
3159,16
3518,101
7268,12
7265,13
7264,53
7267,12
3517,36
7260,50
7263,21
7262,61
6207,52
2680,92
6209,43
3853,1
6809,3
5118,371
3392,7
3207,88
3206,22
3205,121
3204,119
3695,2
3201,103
3200,24
3396,17
2864,16
2865,17
2866,43
2867,1
2868,8
3016,54
1199,9
1198,3
3342,65
5451,26
3340,225
5453,154
5454,9
5455,1
1197,1
1196,6
1755,3
1750,3
1177,3
1176,8
1175,5
1174,8
1173,10
1172,10
1171,2
1170,8
1816,2
1179,8
1178,8
1004,34
6260,33
7180,13
7182,16
1570,4
7184,95
7185,8
7186,26
7187,10
8500,1
872,1
2659,8
6760,1
871,8
8011,4
8010,3
4388,20
6575,1
4383,7
4382,47
4381,45
4380,1
4387,37
4385,6
2033,31
2032,15
3835,14
2031,44
3832,3
3833,17
4031,132
4030,189
4032,351
4035,230
4034,377
4037,32
4036,56
4735,7
2314,6
4739,15
6147,154
6149,127
6148,171
2309,6
4728,24
4725,87
2300,86
4727,16
4726,5
4721,198
4720,362
4723,48
4722,17
3749,13
3746,8
3747,85
3744,16
6355,7
3740,12
3741,134
4620,35
4621,208
4625,156
4626,137
4627,55
2278,5
2455,43
2454,105
2456,179
2450,595
2453,68
2452,81
3597,1
3699,77
2055,11
4828,8
4829,1
3690,401
3691,187
4824,96
4825,331
4822,22
4823,4
4820,782
4821,70
6369,19
6368,1
6361,1
6367,11
6365,17
1110,15
2095,51
3527,8
3595,5
3525,58
3522,6
3523,219
3520,9
3521,8
3529,4
2094,12
7210,28
4670,2312
7212,18
7213,14
7214,18
7215,267
7216,228
6215,249
6214,27
6213,28
6211,355
6210,2120
6218,29
6383,44
4556,465
3673,26
3670,16
3232,50
7325,172
3230,26
3231,33
7320,295
7321,154
7322,64
3235,12
3238,42
3239,14
4553,164
3675,33
2873,1
2871,136
2870,380
2877,50
2876,6
2875,12
2874,7
2879,22
6336,10
3355,89
3354,2
3357,28
3356,302
3351,80
3350,732
3352,282
8576,1
5493,2
1765,9
1142,9
1143,9
1140,11
1141,8
1146,5
1147,10
1144,4
1145,4
6969,1
1148,3
1149,6
6358,5
5502,17
5501,194
7190,126
5137,5
7113,13
2649,1
6569,5
6568,4
3048,59
6564,24
6567,2
6566,223
6560,46
6562,71
6001,5
3325,8
3825,392
3824,104
3823,38
3822,7
3821,22
3820,243
5001,1
2768,83
3584,13
3585,113
4280,278
4287,44
4285,633
3588,3
3589,3
5009,45
5008,85
6176,35
1771,3
6174,159
6175,87
6172,227
6173,278
6170,384
6171,968
4750,83
4751,48
4753,75
4754,45
4756,26
4757,28
3758,4
3751,8
3750,284
3753,44
3752,91
3755,1
3754,328
3757,58
3756,143
2190,92
2191,16
2192,54
4630,151
2194,155
2195,140
2196,90
2197,29
2198,31
2199,45
2200,187
2203,44
2204,59
2205,160
2206,24
2207,73
2208,35
2209,40
2428,503
2429,195
2047,32
2420,59
2421,40
2422,227
2423,145
2424,20
4811,156
2426,12
2427,61
2045,15
906,20
2043,56
3179,12
6357,2
3688,13
6352,5
4815,323
6350,18
3683,17
3682,10
2041,41
3687,12
4521,91
4520,149
2518,55
2519,49
2515,37
2516,19
2517,43
2734,5
2735,2
2736,4
2737,17
2730,23
2731,207
2732,105
2733,14
2738,26
2739,11
5290,560
5291,231
3531,1
3530,1
3533,15
3537,31
2779,38
2049,42
5050,28
5051,94
5052,30
7209,23
1811,5
1819,1
6223,9
6220,114
6221,8
6226,31
6227,13
6224,27
6225,349
6228,4
6229,10
6072,23
2307,19
6258,192
3228,114
7331,19
7330,353
3225,130
3224,110
3227,48
3226,170
3220,142
3223,254
3222,236
801,77
800,31
804,53
2848,32
2849,43
2846,7
2847,16
2844,27
2845,16
2842,11
2843,26
2840,61
3321,9
3322,7
3324,10
5473,28
5470,2
5471,2
3328,27
3329,3
5275,211
5276,172
5277,119
5270,23
5271,184
5272,20
5273,1
7052,36
7053,12
7050,61
5278,11
5279,11
7054,39
7055,3
1159,3
1158,4
1155,9
1154,8
1157,8
1156,3
1151,2
1150,11
1153,9
1152,6
2807,3
5510,2
3038,68
3039,77
3034,29
3036,14
3037,160
3030,1130
3031,49
3032,212
3033,37
5605,132
5604,32
5607,215
5606,394
5601,15
5600,164
5603,23
5602,75
5609,50
5608,222
6518,7
6519,19
6510,44
6511,39
6512,5
6513,1
6514,118
6515,13
6516,301
6517,27
5131,4
3812,13
3813,4
3810,335
3816,62
3814,81
3815,55
3818,156
1420,6
6424,3
6425,5
6426,26
6420,1
6421,6
6423,9
6429,23
6412,1
3512,5
7261,8
3516,25
6169,521
6168,439
3515,40
6160,143
6163,944
6162,125
6164,1398
6167,584
6166,308
4743,3
4742,33
4741,230
4740,1244
4746,17
4745,52
4744,93
4697,10
4714,160
6254,20
4717,145
4608,119
4606,225
2334,59
4605,539
221,106
4601,146
2213,85
2212,55
2211,51
2210,142
2217,83
2216,91
2214,9
6208,453
2219,35
2218,41
2681,6
6904,2
2439,58
3583,2
2431,169
2430,624
5472,4
1161,1
6341,8
4518,42
4519,177
6346,41
4512,47
6348,93
4510,995
4511,204
4516,40
4517,28
4514,210
4515,219
6180,168
2506,17
2505,16
2502,49
2500,139
2727,1
2726,1
2725,4
2722,53
2720,167
5280,445
2729,38
5049,81
5048,96
5047,101
5046,85
5045,148
5044,63
5043,156
5042,86
5041,46
5040,7
3782,21
3783,15
1805,15
3781,21
3786,2
3787,5
1800,5
3788,15
6239,227
6237,60
6236,64
6231,5
6230,997
6233,380
6232,176
7302,22
7303,56
7300,26
7301,42
7306,110
7307,335
7304,271
7305,17
3250,149
3251,8
3254,6
7211,2
810,34
811,33
812,14
814,26
2850,419
7808,1
2852,117
5461,55
5460,12
3331,50
5462,16
3337,356
5464,12
3335,324
3334,4
1499,2
3338,386
3202,5
5267,44
5266,10
5265,2
5264,72
5263,3
5262,12
5261,2
5260,27
2097,24
5269,4
5268,165
4573,515
4574,56
2090,29
1128,7
1129,4
2834,5
1120,15
1121,17
1122,12
1123,10
1124,13
1125,8
1126,26
1127,11
3029,1195
3028,140
3027,83
3025,59
3024,359
3023,266
3022,21
3021,243
3020,230
